rice,130,2.36,.19,28.73
wheat,339,13.7,1.87,72.57
ragi,336,7.7,1.6,72.6
maize,358,9.2,4.6,73
idli,135,6.36,.62,26.31
dosa,212,5.03,2.07,42.48
multigrain-bread,251,10,3.8,46.4
white-bread,266,7.64,3.29,50.61
rice-flour,363,2.0,.6,76
pizza,268,9.1,3,51.1
hamburger,422,20.87,19.05,39.7
potato-salad,122,3.13,7.28,11.03
chicken-wings,290,13.13,23.65,3.54
omelette,150,10.13,9.4,4.75
waffles,285,5.34,12.13,37.25
chocolate,558,6.9,34.1,55.8
pasta,150,5.2,.9,28.4
cake,343,4.73,18.59,39.75
pancake,266,6.14,8.35,41.87
noodles,140,4.9,.6,29.2